,workerId,treatment,idpAgreement,taskId,acc,globalId,decision,selfPrediction,finalPrediction,selfCorrect,finalCorrect,agreement,prediction,finalAgreement,mlCorrect,switch
0,315,3,80,22,80,1066,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
1,49,0,50,9,50,1090,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
2,459,0,50,12,50,132,0,0,0,TRUE,TRUE,0,1,FALSE,FALSE,FALSE
3,297,0,50,14,50,4786,0,0,0,TRUE,TRUE,1,0,TRUE,TRUE,FALSE
4,389,0,50,20,50,132,0,0,1,TRUE,FALSE,0,1,TRUE,FALSE,TRUE
5,23,3,80,29,80,2162,0,1,1,FALSE,FALSE,0,0,FALSE,TRUE,FALSE
6,201,2,50,29,80,4688,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
7,391,3,80,8,80,2380,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
8,378,2,50,24,80,1066,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
9,94,2,50,10,80,1090,1,1,0,TRUE,FALSE,0,0,TRUE,FALSE,TRUE
10,93,2,50,5,80,4786,0,0,0,TRUE,TRUE,1,0,TRUE,TRUE,FALSE
11,134,0,50,4,50,6533,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
12,332,2,50,17,80,3152,0,0,0,TRUE,TRUE,0,1,FALSE,FALSE,FALSE
13,37,3,80,23,80,2053,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
14,290,2,50,12,80,1090,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
15,313,0,50,18,50,3156,0,0,0,TRUE,TRUE,0,1,FALSE,FALSE,FALSE
16,414,1,80,9,50,4770,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
17,106,2,50,14,80,481,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
18,222,1,80,22,50,2162,0,0,0,TRUE,TRUE,1,0,TRUE,TRUE,FALSE
19,150,2,50,27,80,5272,0,0,0,TRUE,TRUE,1,0,TRUE,TRUE,FALSE
20,98,1,80,16,50,6533,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
21,266,3,80,20,80,4786,0,0,0,TRUE,TRUE,1,0,TRUE,TRUE,FALSE
22,370,1,80,12,50,4770,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
23,441,1,80,6,50,4356,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
24,6,3,80,18,80,4356,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
25,90,1,80,3,50,2487,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
26,213,1,80,12,50,6577,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
27,117,3,80,29,80,2053,0,0,0,TRUE,TRUE,0,1,FALSE,FALSE,FALSE
28,47,1,80,23,50,1004,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
29,135,3,80,21,80,132,0,0,0,TRUE,TRUE,1,0,TRUE,TRUE,FALSE
30,363,1,80,23,50,1004,1,0,1,FALSE,TRUE,0,1,TRUE,TRUE,TRUE
31,12,2,50,11,80,6533,1,0,1,FALSE,TRUE,0,1,TRUE,TRUE,TRUE
32,178,2,50,23,80,1004,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
33,133,2,50,2,80,3998,1,0,0,FALSE,FALSE,0,1,FALSE,TRUE,FALSE
34,317,0,50,26,50,2506,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
35,98,1,80,19,50,991,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
36,123,2,50,29,80,2506,1,0,0,FALSE,FALSE,0,1,FALSE,TRUE,FALSE
37,134,0,50,3,50,481,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
38,98,1,80,7,50,3724,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
39,295,0,50,18,50,3156,0,0,0,TRUE,TRUE,0,1,FALSE,FALSE,FALSE
40,29,2,50,29,80,734,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
41,54,0,50,6,50,132,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
42,223,1,80,10,50,3152,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
43,114,0,50,29,50,4688,1,0,0,FALSE,FALSE,0,1,FALSE,TRUE,FALSE
44,149,1,80,10,50,4356,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
45,271,3,80,23,80,1004,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
46,30,3,80,3,80,1090,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
47,447,0,50,1,50,3152,0,0,1,TRUE,FALSE,0,1,TRUE,FALSE,TRUE
48,355,3,80,16,80,481,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
49,294,2,50,24,80,4688,1,0,1,FALSE,TRUE,0,1,TRUE,TRUE,TRUE
50,171,2,50,20,80,4770,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
51,160,1,80,26,50,4492,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
52,375,3,80,30,80,4223,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
53,13,0,50,23,50,1004,1,0,0,FALSE,FALSE,0,1,FALSE,TRUE,FALSE
54,235,3,80,10,80,1965,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
55,273,0,50,6,50,3998,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
56,75,0,50,4,50,481,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
57,171,2,50,12,80,2380,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
58,408,0,50,26,50,2506,1,0,1,FALSE,TRUE,0,1,TRUE,TRUE,TRUE
59,247,0,50,16,50,2380,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
60,409,0,50,23,50,1004,1,0,0,FALSE,FALSE,0,1,FALSE,TRUE,FALSE
61,461,1,80,2,50,991,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
62,460,3,80,31,80,2506,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
63,218,1,80,26,50,1066,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
64,390,3,80,16,80,3998,1,0,0,FALSE,FALSE,1,0,TRUE,FALSE,FALSE
65,305,0,50,2,50,991,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
66,26,1,80,21,50,4770,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
67,171,2,50,8,80,370,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
68,463,3,80,6,80,3998,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
69,233,1,80,11,50,2487,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
70,237,0,50,21,50,4770,1,1,0,TRUE,FALSE,1,1,FALSE,TRUE,FALSE
71,186,0,50,9,50,991,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
72,299,2,50,28,80,734,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
73,34,3,80,10,80,3156,0,1,0,FALSE,TRUE,1,1,FALSE,FALSE,FALSE
74,251,0,50,30,50,2162,0,1,0,FALSE,TRUE,0,0,TRUE,TRUE,TRUE
75,20,2,50,31,80,4223,1,1,0,TRUE,FALSE,0,0,TRUE,FALSE,TRUE
76,177,2,50,15,80,2380,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
77,98,1,80,21,50,2487,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
78,349,3,80,17,80,370,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
79,158,1,80,7,50,2487,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
80,35,3,80,25,80,4492,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
81,60,2,50,1,80,2380,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
82,13,0,50,6,50,481,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
83,86,3,80,8,80,3156,0,0,0,TRUE,TRUE,0,1,FALSE,FALSE,FALSE
84,147,2,50,16,80,3792,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
85,203,3,80,17,80,3998,1,0,0,FALSE,FALSE,1,0,TRUE,FALSE,FALSE
86,158,1,80,18,50,6533,1,1,0,TRUE,FALSE,1,1,FALSE,TRUE,FALSE
87,40,3,80,31,80,5272,0,1,1,FALSE,FALSE,0,0,FALSE,TRUE,FALSE
88,68,1,80,28,50,4223,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
89,179,1,80,16,50,3996,1,0,0,FALSE,FALSE,1,0,TRUE,FALSE,FALSE
90,303,0,50,31,50,5272,0,0,0,TRUE,TRUE,1,0,TRUE,TRUE,FALSE
91,267,1,80,25,50,5272,0,0,0,TRUE,TRUE,1,0,TRUE,TRUE,FALSE
92,337,0,50,27,50,2506,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
93,237,0,50,7,50,1965,1,1,0,TRUE,FALSE,0,0,TRUE,FALSE,TRUE
94,418,2,50,31,80,4492,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
95,313,0,50,17,50,2487,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
96,166,0,50,24,50,2506,1,0,0,FALSE,FALSE,0,1,FALSE,TRUE,FALSE
97,393,1,80,27,50,4223,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
98,81,0,50,1,50,3792,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
99,275,2,50,23,80,1004,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
100,281,1,80,9,50,3152,0,0,0,TRUE,TRUE,0,1,FALSE,FALSE,FALSE
