gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
female,21,27,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,Law,35,20,20,20,0,5,15,20,20,15,15,15,6,8,8,8,7,6,9,7,7,6,5,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.14,3,7,1
female,21,22,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,Law,60,0,0,40,0,0,15,20,20,15,15,15,6,8,8,8,7,7,8,7,8,5,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.54,3,7,1
female,21,23,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,Law,30,5,15,40,5,5,15,20,20,15,15,15,6,8,8,8,7,7,6,8,7,6,8,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.61,3,7,1
female,21,24,'Asian/Pacific Islander/Asian-American','Latino/Hispanic American',0,2,4,Law,30,10,20,10,10,20,15,20,20,15,15,15,6,8,8,8,7,5,6,7,7,6,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.21,3,6,1
female,21,25,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,Law,50,0,30,10,0,10,15,20,20,15,15,15,6,8,8,8,7,4,9,7,4,6,4,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.25,3,6,0
female,21,30,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,Law,35,15,25,10,5,10,15,20,20,15,15,15,6,8,8,8,7,7,6,7,4,6,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.34,3,6,1
female,21,28,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,Law,50,0,25,10,0,15,15,20,20,15,15,15,6,8,8,8,7,7,6,8,9,8,8,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.28,3,7,1
female,21,24,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,Law,100,0,0,0,0,0,15,20,20,15,15,15,6,8,8,8,7,5,6,6,8,10,8,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,-0.36,3,6,1
female,24,27,European/Caucasian-American,European/Caucasian-American,1,2,5,law,35,20,20,20,0,5,45,5,25,20,0,5,7,5,10,8,3,5,7,8,4,6,3,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.29,4,6,0
female,24,22,European/Caucasian-American,European/Caucasian-American,1,2,5,law,60,0,0,40,0,0,45,5,25,20,0,5,7,5,10,8,3,8,5,6,6,9,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.18,4,7,0
female,24,22,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,2,5,law,19,18,19,18,14,12,45,5,25,20,0,5,7,5,10,8,3,5,8,9,6,3,4,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.1,4,6,0
female,24,23,European/Caucasian-American,European/Caucasian-American,1,2,5,law,30,5,15,40,5,5,45,5,25,20,0,5,7,5,10,8,3,7,9,7,6,5,7,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,-0.21,4,7,1
female,24,24,European/Caucasian-American,'Latino/Hispanic American',0,2,5,law,30,10,20,10,10,20,45,5,25,20,0,5,7,5,10,8,3,6,8,7,9,7,8,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.32,4,8,0
female,24,25,European/Caucasian-American,European/Caucasian-American,1,2,5,law,50,0,30,10,0,10,45,5,25,20,0,5,7,5,10,8,3,8,7,8,3,6,2,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.73,4,6,0
female,24,30,European/Caucasian-American,European/Caucasian-American,1,2,5,law,35,15,25,10,5,10,45,5,25,20,0,5,7,5,10,8,3,7,5,9,6,7,9,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.6,4,8,1
female,24,27,European/Caucasian-American,European/Caucasian-American,1,2,5,law,33.33,11.11,11.11,11.11,11.11,22.22,45,5,25,20,0,5,7,5,10,8,3,5,8,7,5,9,5,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.07,4,5,0
female,24,28,European/Caucasian-American,European/Caucasian-American,1,2,5,law,50,0,25,10,0,15,45,5,25,20,0,5,7,5,10,8,3,7,6,8,9,4,5,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.11,4,5,1
female,24,24,European/Caucasian-American,European/Caucasian-American,1,2,5,law,100,0,0,0,0,0,45,5,25,20,0,5,7,5,10,8,3,6,7,8,7,9,8,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.39,4,8,1
female,23,27,European/Caucasian-American,European/Caucasian-American,1,1,1,Law,35,20,20,20,0,5,20,20,20,20,10,10,7,8,9,7,8,4,10,8,5,8,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.18,1,6,0
female,23,22,European/Caucasian-American,European/Caucasian-American,1,1,1,Law,60,0,0,40,0,0,20,20,20,20,10,10,7,8,9,7,8,8,7,8,10,7,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.18,1,8,0
female,23,22,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,1,1,Law,19,18,19,18,14,12,20,20,20,20,10,10,7,8,9,7,8,4,7,8,8,6,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.05,1,4,0
