,idpAgreement,acc,trustFactor,trustSurvey,workerId
0,50,80,"I feel that the machine learning model, as used in this study, is best used as another tool to use in the human intuition toolbox. When seeing the characteristics of various \daters\ and \partners\, it's easy to build a version of the scenario in the mind's eye and then my gut says one way or the other. If the machine learning model disagrees, that might push me over to the other decision if I was on edge of making that choice before.,",5,A2HK0C714HAH33
1,50,80,"Based on the scores, it doesn't seem logical on some of the machines answers.,",5,A1178K7BRHRNW8
2,80,50,"I did not really trust the machine.  It said 50/50,",4,A31XT6RPLN6359
3,80,50,"There was a few times in which the computer disagreed even though it seemed crystal clear that a second date was likely to happen. This caused me to lose most of my faith in the machine. However, when it was a very close decision the machine helped me re-evaluate my opinion. Think two of the three times I ended up agreeing with the machine in those instances.,",2,A16LZUEQ6JGHWA
4,80,80,"I trust the model to give me an average prediction based on what the participant wants especially when the date had or didn't have all the attributes they want in a partner.,",5,A39KHMYFO61LKN
5,80,50,"I trust the machine learning model.,",4,A1NK7VVVNVKF0D
6,50,80,"I felt like an experienced person would have a better idea of the nuances about people dating, rather than an algorithm predicting.,",4,A1A1ZXUVSV4YR8
7,80,80,"sometimes it went against very high ratings and so i went against it,",4,A1TJZFTCYX4ASU
8,80,80,"A machine cannot feel the connection but maybe it's better that way. Sometimes we connect with people who are not good for us. ,",5,A1OM5NWYYYJKQW
9,50,50,"this very nice to predictions of our machine learning model ,",6,A2UTOAWFI02ZLI
10,50,80,"GIGO. What people input to a machine stating what they like may be very different once the interaction occurs. It is reflected in their evaluation of the date. ,",2,AR8AGQVBAQ488
11,50,50,"It's sometimes right but ultimately I relied on my own analysis,",4,A27LCUA35LPVM8
12,80,80,"It made some predictions that seemed not to be in line with how the person rated the date. I wasn't sure what factors it was using to make the decisions.,",5,AKK6H2YXK4RF6
13,80,80,"The model agreed with what I felt was right most of the time, but occasionally I disagreed with it.,",4,AXAO7UJYYEFCO
14,50,50,"It seemed wrong too often. There were many cases where it didn't make sense for the machine learning model to disagree with me.,",2,A3JI3B5GTVA95F
15,50,80,"I did not really trust it because I watched very carefully especially toward the beginning and it did not make very much sense. There were times when a person highly rated someone and all traits matched and it predicted they would not want to see again and vice versa, so it just did not seem right.  ,",2,A3RHJEMZ4EGY2U
16,50,80,"The prediction model seemed pretty inaccurate, but I think that was part of the study. ,",3,A2SISDKXH7PVVW
17,50,80,"very good ,",2,A65FDBSWHLIVX
18,80,50,"Some of the predictions were questionable from the machine,",4,A25FH7PXC446RG
19,80,80,"I don't know how the machine learning model weighs certain things so I can't trust a process I don't understand. It also was only 80% accurate from what I was told.,",3,A30KMYNZB3WUYE
20,80,80,"I agreed with the machine learning most of the time but there were a few times it seemed really off.,",4,A1YT6E0W0SDP0R
21,50,50,"The survey is very nice,",4,A21RGGSDIG1OO9
22,80,80,"The machine learning does seem to be above average at predicting, however I do not know how the model comes to its conclusions.,",5,A2GTJ0BD4CG1A2
23,80,50,"Machines are programmed by humans and humans make mistakes.,",4,AMA4SXSYNC35I
24,50,50,"Because the machine agreed with me half of the time,",5,A35IOP4ISLMW5Q
25,80,80,"It doesn't have a track record for being right 100% of the time so I wasn't entirely trusting of it.,",5,A38N2MBXP7IOPS
26,50,50,"i have trust the prediction of our machine learning model.,",5,A248XX9O9V58EK
27,50,80,"I didn't feel there was any consistency in how the robot predicted whether the people would want to see their date again.,",2,A3FXXVWB4808XQ
28,50,80,"The machine is pretty accurate, but I do think most people would like another date with this person. ,",6,A3908297ZI3LES
29,50,80,"good survey ,",4,A3D65BKMRXQ0BD
30,50,80,"I am making guesses based on the information, if I don't know why the machine is differing from my guesses, I don't really trust it.,",2,A10DEO061A6L3O
31,80,50,"I felt like I should have done better if the machine was better at it. I don't trust it.,",2,A1KXESMB9K7504
32,50,50,"Didn't seem like it took into account all the desired trains and overall happiness with the date.,",2,A2XK2XQU5D3TER
33,50,50,"good survey,",7,A2YD4XK9B1TBKL
34,50,50,"I noticed some where the participant ranked their date extremely high in all areas, yet the machine predicted they would not want a second date. That seemed a bit odd, so I did not place much trust in it the rest of the way.,",2,A3GWRDHAURRNK6
35,50,50,"it seemed to go against what the forms clearly showed; and then i learned that it was only correct on 50% of the choices.,",2,A383WPMTMRQEA0
36,80,80,"going by what they said about previous and after ratings,",3,A3C7COPV48I37D
37,80,50,"I feel that humans can rate this info better than a machine. I could be wrong about that, but i trust myself since i am a human,",2,A1JWEKRBLSPL8S
38,50,50,"BECAUSE LEARNING IN THIS PREDICTIONS. SO I WILL TRUST,",5,A3RSSBNYBYYMUK
39,50,80,"it seemed pretty off on some people who specifically said they did not enjoy the date.,",4,A381DSGY6RMEWZ
40,50,80,"I disagreed with the machine learning mode numerous times and I think I was more correct. There were a few I wasn't sure about but for those, I went with my gut instinct.,",3,A1NFBKUYYVUYWF
41,80,80,"I disagreed a fair amount. I mostly went by final 2 scores about expectations of the date.,",2,A1DNJ17PE2RYJZ
42,80,80,"For the most part comparing the numbers, the AI was able to predict the same answer i had selected. There was some differences but i dont know what is the algorithms that the AI is using for this practice.,",5,AZL871S7SZCNS
43,80,50,"There were a lot of times that the machine would disagree with me but I trusted my decision over the machines.,",3,A27ZW1CY6TMKT8
44,80,80,"Yes, i have really trust the Machine learning model and i'm like the model,",4,A2XUW21MM3NSSP
45,80,80,"To me some of the predictions just seemed incorrect. So for those I kept my final answer the same as my first answer. ,",2,A3DUZ6WCFZRLX9
46,80,50,"Except for on the rare occasion, i thought the machine learning model was inconsistent and lacking the reasoning I did when evaluating the data and personal potentials.,",2,A2GVTP4DBFQTR8
47,50,80,"There were a couple of times where it felt totally which made me lose confidence in its ability. I decided to go with my own instinct and see how it matched up with it instead of relying on it.,",5,A2LAMCJLVCRQ4T
48,50,50,"i like it,",4,A1REVLWT8LRNC6
49,80,50,"Some time the different levels between the outcome and desired results were really different and I didn't agree with the predictions. ,",4,A12N488WIO2Q8Y
50,50,80,"I felt that it was accurate most of the time but I felt better about my own assessments,",5,A3A8P4UR9A0DWQ
51,50,80,"Sometimes the ratings seemed to signify one answer, but the machine surprisingly predicted the other answer, and it did not make sense. Other times, the machine served as a good justification to go back and double check erroneous or significant scores from the prediction or assessment of the date. I was surprised to learn the machine had an 80% success rate following the 20 profiles.,",3,A1CXB0JXEY20NV
52,50,80,"I feel like the predictions really do not showcase what someone would actually feel being on a date.,",1,A3FY6THWKRYN9M
53,80,80,"There were a couple of predictions the AI made that seemed really backwards to me, so I only relied on it a couple of times when it disagreed with me in a more ambiguous situation.,",3,AMPB8XFG3TNOQ
54,80,50,"very trust because it is an normal usage of the logins,",4,A3HN6KG4XV76RK
55,80,80,"I have trust the prediction of our machine learning model.,",7,A248XX9O9V58EK
56,50,50,"Sometimes the numbers seemed to not correlate with the advice of the machine and then I followed my own instinct,",5,A3AGQ2G8QI59EG
57,50,50,"some one,",5,A10M9EA93HFZU9
58,80,50,"tHE DEMONSTRATED PROFICIENCY ws no better than random guessing over the first 20 subjects In some cases, also, the machine choice seemed to be ignoring the daters preferences and observations,",1,A5TI9UQEPLNWI
59,80,50,"i will random answer participatents,",5,A2IENHEZ4PPE4Z
60,80,80,"My best prediction,",4,AO0SKP1RQ65PH
61,50,50,"Because it had a correct prediction of 50%.  This isn't a high number of right answers. ,",4,A170EDGL8ZWMSL
62,50,80,"Seemed very inaccurate. Can't detect human quality, yet.,",2,A3HNEYFOIJWPH1
63,50,50,"An accuracy rate of 50% is as good as a coin flip, or not very reliable at all. So I tended to ignore the machine's evaluation and went with my own intuition instead.,",1,A20CZCJPRP54G9
64,50,50,"I didn't feel like the machine model made logical predictions some of the time. I just relied on what I felt was correct.,",2,A1GZAHNN3T1AOJ
65,50,50,"In some cases, the date was a perfect match or above for the participant but the machine still said they wouldn't want another date. There were also times when preferred race wasn't considered.,",3,A25QWZD2F0XSEX
66,50,50,"represents totally trust,",6,A3FKDL7CAES4LP
67,80,50,"i guess it disagreed with me to many times lol or maybe is should trust it ,",4,A2BK8TOVJQHC0V
68,50,80,"Because it only really agreed with me about half the time.,",5,A2Z7SWO6HS5OOI
69,50,50,"The predictions by the machine were only 50% correct,",3,A36Z98LFRR041Q
70,80,50,"I trusted the machine learning model because more than half of the time we felt the same way about the date. So it was easy to build a trust with it.,",5,A11LL3J3YSXB4U
71,50,50,"I pored over the information and the AI recommendations made no sense to me, especially when looking at the numbers of whether they were pleasantly surprised at how well they liked the other person.,",2,A3DCRZTX0HIHBJ
72,50,50,"it was worthless, and the thing said it was correct on only fifty percent. so completely random,",1,ALF9AAZGQP4K5
73,80,50,"it seemed to base it on the wrong variables,",3,A3CTC7YNLG63OY
74,80,80,"There were some tasks where the pick the machine made seemed just way way off, and that really hurt my trust in it.,",2,A2XM0NXWJSURRX
75,80,50,"algorithm not too good,",5,A1GJOBAMXLEE42
76,50,80,"I was between a 5 and a 6, but basically my trust stems from having similar answers as me, and more importantly the statistic of an 80% success rate given during the break. ,",5,A17RFTJ869XGPQ
77,50,80,"Never trust a machine.,",1,A4158R4Y06ZB4
78,80,80,"Very interesting,",6,A149YGEHEW4LTE
79,80,80,"I was skeptical about a couple of the learning model's predictions during the first part of the experiment. But after I was informed that its predictions had been correct 80% of the time, I felt that I should trust it more often when I was unsure about my initial prediction.,",5,A1JS6T809ORXEF
80,50,50,"The machine gave bogus answers when the participant clearly enjoyed their date. I just didn't trust it after a few such answers so I went with my gut intuitions.,",2,A1QGBYG8FAN98B
81,50,50,"Good survey.,",6,A13YOOKZFZJJ10
82,50,80,"I trust my machine (human brain) over a computer when it comes to love. I'm looking at context (age, race, attributes) and using them to come up with complex computations. I don't think a machine has that ability when it comes to love. ,",1,A1U7IFPOFUBEJC
83,50,80,"There were instances where they enjoyed the date more than a seven and the model still disagreed with me when I picked that they wanted to date them again. I am a bit skeptical,",1,A2ZDXFFGSPHGBE
84,50,50,"It seemed to make predictions that were very contrary to the attributes someone was looking for.  Often, the person would seem to obviously like/not like their date, and the machine predicted the opposite.  ,",2,A2W0G89O7E9EFO
85,50,50,"It is only right roughly 50% of time, and had some questionably wrong decisions.,",3,A3FAF93BMDJLAL
86,50,50,"machine learning model,",5,AIKVGBWKQHTPQ
87,50,50,"I have no idea how the model has been programed so I am not sure how accurate it is. ,",2,A3J71HY4S92B8I
88,50,80,"Some of the predictions of the machine looked way off to me. ,",4,A29GJGXFU9BQQG
89,50,80,"Some of the predictions seemed way off, even though it looked like they were such a great match. Because of that I was wary of all of the machine learning model's predictions. Also, I missclicked on the attention check on Prediction Task 17 and was unable to go back and change my answer, I'm sorry if it caused any problems.,",3,ATMIFF1CQZR0A
90,50,50,"The algorithm works well on the decision making task,",6,A2L6V30CL1RU6
91,80,50,"I trust the machine a little bit, but I think there are other more human factors that have to be included in dating. \nAttraction is very important, and usually if humans aren't attracted at first there may not be a chance.,",4,A1F3TWJXGO0URG
92,80,50,"the above questions are very easily and day to life example of the questions,",6,AZXG2N87ERWCV
93,80,50,"Nothing,",5,A1YV6W4EZP9T4Q
94,80,50,"good this study all thoughts read and answer him very honestly him,",3,A24BTGE1EWQMG6
95,50,80,"hat kind of culture do you want to work in?\nWhat things, settings or resources are necessary for you to do your best work?\nWhat qualities do you feel make strong, healthy relationships?,",2,A2YD1EW0UXMARZ
96,80,50,"good study,",6,A2E9730O1S6JJM
97,80,80,"yes i have trust the prediction our machine learning model. i am very proud of the study.,",6,AR5OCKIP13OP7
98,80,50,"50% accuracy after 20 picks,",5,A3BS3RZIWQMB9G
99,80,50,"It said the machine got the predictions right about 50% of the time which is only slightly trustworthy.,",4,A21P1T8EW4NHOU
100,50,80,"I'm very middle-of-the-road with this. It only seemed to line up with my predictions about 50% of the time, and when it didn't I wasn't really sure why because I based mine off of the data in front of me. If everything on the chart seems to be more negative towards the person's date, I don't understand why sometimes the machine would say that the person would want to see the date again. Plus, during the \quick break\ it said my accuracy was at like 80%, which seems decent, especially since I didn't really take the machine's prediction into account very often.,",4,ARXON28XQQFJ5
101,50,80,"The first set of profiles the AI was making obvious errors.  The second set was more tricky.  A couple of times I changed my mind because of the AI during the second set.  ,",3,A20EU0UH5K3VGE
102,50,50,"I disagreed with the learning model on several occasions. Additionally, it was reported to me that the model is only 50% accurate. It is rather hard for me to trust the model on that basis.,",2,AAI3I3PT62PDK
103,80,50,"There was some examples that I believe were not correct, the couples probably  wouldn't get along.,",5,AQOXSP4W3ITSW
104,80,50,"I was told it was 50% accurate, so I was a bit ambivalent about trusting it. I went with its suggestions a few times anyway though. But sometimes I felt my answer (when it disagreed with me) was overwhelmingly better. ,",4,A1SHLWKA0UH1IS
105,80,50,"If the machine only has a 50% record, it seems like flipping a coin could be as accurate.,",3,AU0KL60G7FCCK
106,50,50,"I needed to trust my gut and judge by the data I was provided.  I didn't think the machine learning model was making the correct predictions a lot of the time.  I was more likely to go with the machine's predictions if I was on the fence choosing between the two options.,",3,A2W3I2GBGDB637
107,50,80,"Sometimes I would think that the person's date is not who the person indicates they exactly want. For some, I thought about the some of the ages and I would also look at how happy they said they could be. When the learning model said something that contradicts that, e.g., having someone possibly be unhappy with a person and wanting to see them again, it made me not want to trust the machine learning model.,",4,A2NE22627OOZYE
108,50,50,"The model gave a different choice than me much of the time, even in cases where I was very certain of my choice, so I ignored it to a large degree.,",2,A2EED3HLTA96CP
109,80,50,"It seemed some of the lower scores were chosen to date again, I had to disagree with that.,",5,A15SJZQBR8I3B3
110,80,50,"I mostly trust the predictions, but I also believe very strongly in the value of my own predictions. Guess we'll find out!,",5,A3JQHC96GU2RMC
111,80,80,"I think the machine uses an average of the highest values. I'm using my wits and gut.,",4,AL6KD1ZLYLJ61
112,50,80,"The person's actual rating of the date doesn't really seem to correlate well with the algorithm's prediction.,",3,A2LGGU6XX7Y9S9
113,80,80,"I think that the artificial intelligence bench lines are similar to a human outsider analyzing the data. AI is given a weight for each trait  and acts on the numerical data. A person viewing it may feel that some traits deserve more weight than the mathematical data provides. An example is that men feel looks of their partner is very important even if they do not rank it as important. A human may view this as more important that the numbers indicate.,",5,A10IJ2B94MS2MX
114,50,50,"Since round one the learning model only had a 50% accuracy I chose to go with my own gut feelings instead, especially when the enjoyment rate was very high or low and the machine would choose what to me was obviously incorrect.,",4,AS4E902OXUO5Z
115,50,50,"It cannot accurately measure human instinct and motivations.,",1,A2V4DP31BEVABF
116,50,50,"I didnt agree with most of its' predictions, so i have to say that I dont truly trust it.,",2,A2DWDTU1KVNISP
117,50,80,"I found that in some cases where the answer was obvious that the person would not pursue a second date the machine said they would. This made me loose trust in the machine.,",2,A1MRBBA2OLM223
118,50,80,"There were a few specific times where I felt very confident in my answer, but the machine did not agree with me. I felt like this happened around 5 or 6 times total throughout the entire trial. This lead to me being slightly weary to take the machines suggestion sometimes. There was once near the end that the machine really did convince me to change my mind and \think twice\.,",5,A30USRN6IWGIY8
119,50,50,"It looked like the model was basing its predictions on the difference between expectations and reality, which may be a valid predictor.,",4,A12O9P1OTMJOPW
120,80,50,"A lot of the predictions were way off, so it was hard to trust the model.,",1,A1ZSF0TMW419EK
121,50,50,"I was told it is 50% accurate.,",4,A1QY7CBO7FNPO8
122,50,80,"I think what is most important is what someones expectations are versus how they actually felt afterwards. Everyone may claim that they have preferences, but really what determines if you want to see someone again or not is how they made you feel and how well you found that you connected. ,",4,AA6RYE4V0IBKM
123,50,50,"I think sometimes the machine gets most of it correct. I don't think it will be perfect just like me.,",5,AMDKQKEILEP2N
124,50,50,"It seems that at the halfway point I was doing worse than expected to I started to follow the prediction of the AI because it seemed more accurate. ,",6,A2QDLFKBP4F1TT
125,80,50,"it's quite sensitive and agreed to most of my decision ,",5,ANPNK6CIBGLIF
126,80,50,"good survey,",3,A1HCH1XPO4SCJS
127,50,50,"good very nice,",6,A1L1J482VDIR0R
128,50,50,"I just think it seemed outright wrong most of the time.,",1,A2RGIULFG1GWF5
129,80,80,"It seems to match up okay with my gut feelings about the current date.,",5,A2KSAAQBU5R0F6
130,80,80,"Most of the time I agreed with the machine learning model. There were a few times we didn't agree and I stuck with my prediction, where a few times I ended up agreeing with the model.,",5,A25PFSORDO3SWQ
131,80,50,"The machine learning algorithm seems to be a 50/50, but then again so do I - mostly I'm judging whether the person was happy on the date. ,",4,A3HE7G3O3OST51
132,50,50,"A lot of times the machine model disagreed with my prediction and I felt mine was right so I only changed to their suggestion when I was unsure what to choose.,",4,A259UZJQOOVE4V
133,50,80,"Seems like i don't fully understand how the model makes predictions,",5,A191V7PT3DQKDP
134,80,50,"If it was 50% in the first 20 questions then it's not very accurate. I also thought it made some questionable conclusions when race was an issue and it ignored it.,",4,AS6U5AB31C0E6
135,50,80," represents totally trust,",3,A32LE7L4GZMI2D
136,50,80,"I chose the trust value of 4 because I'm not sure by just putting in numbers that you can predict the outcome. It really depends on the person giving themselves a chance to evaluate the possibilities of individuals.,",4,APDDA1Y59RHV9
137,80,80,"I work around machines and I know that they are error-prone. However, especially in terms of speed dating, I don't trust to make that much of a calculated decision because its not taking in factors like nervousness, mood, setting etc.,",4,A3QJNTSPNMMA31
138,80,50,"represend totally trust,",7,A2HXDROS3DHEQ
139,80,80,"Very interesting,",6,A2A9NJA8QHP04Q
140,80,50,"I havent seen the machine learning algorithm and so I do not trust it. I also used the information given to me about the likes and wants of the person so I went with that. ,",3,AIFRN9GF0Q1ZI
141,80,80,"I think that the machine can predict certain things when based on the numbers of characteristics, but it cannot consider the emotions and interest in other human beings when it comes to certain characteristics (race, attractiveness, etc) So I think it can attempt to predict but cannot always be counted on to be correct.  ,",4,ANK8K5WTHJ61C
142,50,50,"The model seemed to be wrong on a few questions that I feel were almost 100%. So i really didn't trust the model.,",3,A3QNCW3LR2AVOV
143,50,50,"machines are imperfect, but very helpful.  There are too many varibles to be able to translate to an machine.  Like Culture,",5,A3H0133NSXWYTM
144,80,80,"It made some odd predictions some of the time.,",2,A27BPRHBM28XZS
145,80,80,"It made reasonable suggestions.,",6,A3C0NQ2IP5FTZQ
146,50,80,"GOOD SUPER,",6,ADGGBT9FSNCD4
147,80,50,"I felt the model gave me wrong suggestions most of the time.  I felt I could make a better decision without consulting it.,",2,ATOMAIZXIR31I
148,80,50,"It made decisions that did not seem to fit the data.,",2,A2DDOEOO1D99X4
149,80,80,"machines can not understand people,",1,A26RO8GGTQAXGG
150,50,50,"i trust this software,",6,A26CTYO8NUB9IC
151,80,50,"Humans change their mind very quickly, machine can't predict that.,",2,A32ES5EUTQUQVN
