,workerId,trustSurvey,trustFactor
0,A3V4SRRO18ELMV,7,"considering the given instruction,"
1,A7D9XHUCWKPE7,7,","
2,A1MHQQGREWFKLV,5,","
3,A1VJ4ZOXP9PUCP,4,","
4,A32UG3M7B6B7BS,2,"Because I have not seen the model's training set, input parameters, or algorithm in any way. It could have just as easily been randomized and I'd never know it. Don't trust what you can't see...,"
5,ADXRJFEHIDXRE,5,","
6,A1LDTJPM3ZDN8B,6,"This is my own decision.,"
7,APXF9SKBQ90QS,4,","
8,A1M8XLZY38ABAM,3,","
9,A394TR8TDF3VN0,7,","
10,A165FAZ64QMIHL,4,"For similar ratings of the participants, the machine learning model gives different opinions sometimes,"
11,A6FLN13QJ51MF,3,"good,"
12,A2JTIULYK1B15I,6,","
13,AOJPRTHGMEPFX,5,"The model has an algorithm which will have an tendency to on average be a good determinant of the correct responses but it can not look at the uniqueness of each case. Overall it could be good but it cannot be completely correct all of the time.,"
14,A2HKOIQT8JTIL9,6,"fantastic to read,"
15,AMA748CSK6Y62,2,","
16,A253ONP5G8TRLY,7,"good,"
17,APYDJN5TZN2LW,3,","
18,AQ4C8KG75JB2X,7,"Good survey,"
19,A1M8XLZY38ABAM,3,","
20,A13I5FYE0YZBPS,3,","
21,A2GALIYUWAIPNV,6,"decision and making will be true i order to decide,"
22,A1MLWVH0IE3HJ1,7,","
23,AQM940W1VBAG6,4,"The machine learning model's predictions seemed to not match mine frequently, and I trust my predictions fairly well (regardless of whether or not they are correct!)\n\nAlso, I want to note that I accidentally missed the first attention check question on task 12/22. I noticed it after I had already selected the wrong answer, and I was unable to change my response.,"
24,A219FEH7Q5DSKF,5,"It seems to be basing its answers on statistical data of the dates.,"
25,A2FH3K15WR8NWJ,6,"GOOD,"
26,A2IJVS0FU5H2Y8,4,","
27,A2QP5UY1GIQZ5Y,3,","
28,A170WD5QOT5KF5,7,","
29,AIQM86IRETAJN,3,"The reason I choose the option I did was because from looking at the charts there was a lot of times I feel the robot was off. ,"
30,A1JMT7TW15X73N,3,","
31,A2HSCKH5NKN5LP,3,"I just think its' hard to account for male/female with this machine that type of thing.  I trust my own instincts more than the AI.,"
32,A3TMWEDGTXCGEA,7,"good survey,"
33,A1XBL7LKBAMSNK,2,"a machine cannot be 100% right about how human feels.,"
34,AW081A2YEZT14,5,"It seems as though me and the machine agreed in the first half of this and suddenly could not agree in the second half after the mid questions break. Interesting.,"
35,A3O8AFX9PG1DJ7,7,"good,"
36,ACRWFXL6NG5FF,5,"good,"
37,ALN47U1AGCWWD,4,","
38,A2CNNBX9KLQUQJ,4,"It seemed to be comparing the expectations with the rating however the did they enjoy the date did not seem to be included in that predicion in some cases where they expected a good date and gave a lower number on if they liked them. It's an algorythm and while the data is precise the interpretation may be losing something.,"
39,A1ENE99INLYD1G,5,","
40,AIS4X2NYY3V1T,5,"I strongly disagreed with most of the machine predictions in this second half of \predicting love.\,"
41,A1QHJGHKDIG3T5,5,","
42,AECA0YXYZ6A0K,5,","
43,AAAHLPAGDOA2U,3,"After the halfway point it seemed like the model stopped working or started giving random answers.,"
44,A1KV35FNNLEIIQ,4,"First reason was limited information of how the machine defined of see again. Because see again leave open a range of variables based on age, race and gender. Based on those variables see again or the happy rating as short or long term. I tried to do the impossible and factor in the human variable as opposed to just simply creating a basic threshold based only on the numbers provided.   ,"
45,,2,"asdf,"
46,A3HFS6Q0TONAB9,4,","
47,ADIY8Q1T3X7D6,4,","
48,A1N3KH4UAF3PM,6,"Because Machine learning is easily predict the probability using the algorithm, it is trustworthy,"
49,A1TVVXA5T60VYR,6,","
50,AOKC5LCQ8BAKZ,5,"the trust value on very best ,"
51,A36IKCEEOJ0KQ3,5,"good study,"
52,A2XWTO3MDMFNA5,6,","
53,A1B00PXY9R95XA,5,"fine,"
54,A35NV43LLX3X3L,6,","
55,A3QVZ4SZB79D8W,5,","
56,A2L3X4ZZ0J2DZ2,5,","
57,A3GITKS8VABUNB,6,","
58,ARFIYA5VJ3WRD,4,","
59,AG6JSZQZOT8ZD,6,"It agreed with me much of the time,"
60,A2YVC1U50H2B4R,5,","
61,A31Q7AFHJ5EXHR,6,"Because our predictions are almost perfect and the same.,"
62,AMJW8VYLA3WFF,5,","
63,A25L52U60U9WID,4,"The model's algorithm doesn't take into account, \gut feelings\, i.e. the intangibles.,"
64,A1WVLHV6KWWJDA,6,","
65,AP37YWN7PJOS8,7,"The machine learning model calculates the data and can do so tirelessly as long as there are no errors in it's algorithm or code. It doesn't get tired or lose focus like a human can.,"
66,AL77G9WNN2V1G,4,"the very inserting answer ,"
67,A3A1PMZDFJD218,6,"GOOD,"
68,AA663LHAMX49A,6,","
69,A11EL5LWS2L1HX,7,"Fun! I thought the machine would have as good if not better guesses then me. ,"
70,AJODPUVR2P18Q,7,","
71,A1PXMNFSURCOFJ,4,"There are too many factors that go into why they're happy or not.,"
72,A2BRZKFG6WAVER,3,"I went with how much they like their date So if it was like 5 or below it was a no. The machine would sometime pick yes.,"
73,A3OT28IPFMPCWV,6,"love and affectins ,"
74,A296ZMIJ62UCY0,6,"It clearly and honestly gives feedback how to select date with which was the most priority.,"
75,A2Y8KUUAA38W6E,5,","
76,A2IFW22AWCAE25,6,"good ,"
77,AKW2BW38VL7CA,4,"noidea,"
78,AD7P28YIW2H66,4,","
79,A2D9ZZDR43R34Q,6,"none,"
80,A5P3SQWUEP0UC,7,"good,"
81,A3V06PKJGI7OY,4,","
82,A13I3UTEFM8852,5,"GOOD,"
83,A13WC81F4KJ8FU,7,"I like your machine learning model.,"
84,AHDZLY0XIQDJA,3,","
85,A1FQK51ECARQNK,5,"There were some instances where the machine seemed like it was completely incorrect, but for the most part when I had a definite impression, it agreed with me. ,"
86,A1QX1RYLCFXZJ9,4,","
87,A1KWRC85I15X6Y,6,"THE PREDICTIONS OF THE MACHINE LEARNING MODEL IS VERY IMPORTANT TO USE.,"
88,A1UCDLTUO7FES9,7,","
89,A11UH7ZDWI8WNQ,4,","
90,A1L1S0IAPZB4MO,3,","
91,A3HHVE3A04F54K,1,"I feel like I am pretty well versed in the dating scene and this machine had incorrect opinions for most of the scenarios. I guess we'll see if I was the one in the wrong though!,"
92,A1RGGBE7J8SXFC,5,","
93,A1QRX4YCTC5ADW,7,","
94,A17AE0D93WVDXW,6,"likely good,"
95,A1C8FN01981A69,5,","
96,A3JZS32RQUWGJM,3,"The criteria seemed to change during the second half of the task. The AI seemed much less picky.  ,"
97,A3E18P15E4GSG6,6,"It could be a ruse to throw off the participant but I think it might be real, and if so, might be able to make better predictions. ,"
98,A3HV4K6ZCL0LA4,7,","
99,A3FSLBP09L0ATL,5,"good.,"
100,A1SX9DT3XHX845,4,"I semi-trust the predictions provided by the machine learning model because I feel as though there is more to human's than can be quantified by data so in certain instances the model disagreed that individuals would likely not want to see each other again even though they both enjoyed the date tremendously and pegged each out close to 10 on scoring. ,"
101,A14CPQKP46VJQK,4,","
102,A39L9VT9UNW52,6,"The machine analyzes the data in an unbiased way,"
103,A2BBFG0J0TJI78,2,"The model didn't seem to take into account the respective weighted factors that determined the participant's satisfaction with the date. I tried to weigh all of the factors, and I also paid attention to whether the participant's experience was better or worse than their expectation prior to the date.,"
104,A2HNWNKYWCAVXR,3,"Machines have access to potentially unlimited information,the information can be analyzed to create accurate models of behavior.,"
105,A1DQQ0CHG7WW3E,7,"nice,"
106,A59M1Z7ZAYUHP,5,"good,"
107,A2O7V3NTBF9RRE,4,"Some of the predictions by the machine learning model just seemed wrong.,"
108,A230GPTWWF3SE7,3,","
109,A19P7S5OYZS61Z,2,"I don't trust a machine when it comes to sexual attraction and/or love between men and women.,"
110,A171S8E9IFSHH2,4,"it seemed to not be reliable sometimes,"
111,A3JOSSXBQRHEVW,5,","
112,AV7OKGJ2PJO30,6,","
113,AQYW6CV7F14MF,5,","
114,AO6B0VEVBGGAP,3,"na,"
115,AJSGQENVIR576,6,","
116,A16NEQHTWXB814,4,","
117,A3XU8C72O6LCD,2,","
118,A1CRI3HBGQJZPS,5,","
119,A2WPSV17R3KTV8,5,"Good Survey.,"
120,A15C8RP5LNACDS,5,"very nice,"
121,A1NQ2MBWFIKLRJ,7,"I believe the machine learning model has been programmed with the most accurate information available. Therefore, I trust that it will make correct predictions.,"
122,A1POQWMOWKNQCN,4,","
123,A35CL66BEUSJ5Z,5,","
124,A1W9G8QEYMQ19K,5,"The machine can extrapolate thorough and presumably honestly provided data, but there are too many human variables that it simply cannot detect. I think the machine is effective, but I don’t think it’s a good substitute for human intuition.,"
125,AYYSG3O9FNU15,4,"It seemed to do ok but not great. (also on the attention check question i tabbed down and it filled in the bubble and i couldnt change it to the right one for the first attention check. I am sorry for this.,"
126,A20K3Y13J7378R,7,","
127,A2KROBPV0YPE4A,4,"I went with my gut feeling on many of these and AI can't predict things based on emotions, but just numbers. I think most people, whether they admit it or not, want to date someone attractive. If they weren't, I disagreed with the learning model.,"
128,AMZZ3D0GQ55KD,4,"Prediction appeared to be moderately accurate. ,"
129,A3KF6O09H04SP7,3,"I trust my own judgement more than the AI predictions.  It seemed to be way off on a few of the early dates.  I could be way off though.,"
130,A1SLR72L2E2Y7Z,4,","
131,A122LRCSBAD6DC,4,","
132,AHRM15WHLJRBX,3,"good,"
133,A2LTYGJYESZ2Y4,6,","
134,A1R6EYMMFB1VU8,6,","
135,A1ZIFCPLXO0MR8,5,","
136,A2ER0EVZ7E1Z8G,6,","
137,A2W3KKNN3CAY66,5,","
138,A2V2W0TIOZ7XEX,5,","
139,ABYFMKPTF0SHG,7,"GOOD,"
140,A3AHCT6Q7A3Q23,2,"I felt that there were matches that, based on the data given, were incompatible. I would be surprised when the machine model felt they would go on another date. ,"
141,A3DAMHJMEWU6EV,5,","
142,A3OITERGPA20M4,6,"good,"
143,A3CW3C18CC5DR8,4,","
144,A1RENDLC6BUY3O,6,","
145,A3S67QA0SQVPUJ,4,"I think the machine learning model could provide good insight for my decision.  I don't think it will always be right.  I think there are certain cultural aspects of dating that the model may not fully take account of. ,"
